time, light, accx, accy, accz,
0.032, 1.37189, -0.00616789, -0.0549355, 9.95656, 
0.064, 1.37851, 0.0489361, 0.00857829, 9.92112, 
0.096, 1.37905, 0.0527021, 0.114393, 9.81509, 
0.128, 1.38987, 0.0671342, -0.0381105, 9.7992, 
0.16, 1.39266, -0.0441994, -0.000485617, 9.81225, 
0.192, 1.39751, 0.043012, 0.0700406, 9.8526, 
0.224, 1.39632, 0.0603841, 0.00247613, 9.74519, 
0.256, 1.39747, -0.00676238, 0.0782291, 9.80984, 
0.288, 1.40654, -0.0304202, -0.0819638, 9.86537, 
0.32, 1.40427, -0.0664456, 0.00733129, 9.80196, 
0.352, 1.41574, 0.0281564, -0.000979451, 9.86586, 
0.384, 1.41738, 0.0278502, 0.0325206, 9.79906, 
0.416, 1.42007, -0.00686079, -0.0823528, 9.8148, 
0.448, 1.42137, -0.00329512, -0.0320251, 9.87638, 
0.48, 1.42771, 0.00641862, -0.0256064, 9.85953, 
0.512, 1.42745, -0.0128433, 0.00713846, 9.81217, 
0.544, 1.43091, 0.039678, -0.141349, 9.78523, 
0.576, 1.43829, -0.0219534, 0.053659, 9.83459, 
0.608, 1.44386, 0.0286266, -0.0078826, 9.77475, 
0.64, 1.43936, 0.0446844, -0.0107099, 9.79316, 
0.672, 1.44946, 0.06091, 0.02646, 9.7272, 
0.704, 1.45401, 0.0437337, 0.0902403, 9.84594, 
0.736, 1.45148, -0.0924172, 0.0237611, 9.71233, 
0.768, 1.45853, -0.0533214, -0.000568038, 9.79673, 
0.8, 1.46554, 0.101605, -0.0222669, 9.82551, 
0.832, 1.47021, -0.10499, 0.0791401, 9.7902, 
0.864, 1.46039, 0.0110118, 0.0265551, 9.73654, 
0.896, 1.47416, 0.0126138, -0.0338561, 9.73893, 
0.928, 1.4664, -0.0262359, -0.0346671, 9.82275, 
0.96, 1.4819, -0.0122813, -0.00115218, 9.78542, 
0.992, 1.47633, -0.0105252, -0.00451622, 9.78528, 
1.024, 1.47999, -0.0779149, 0.0963182, 9.78114, 
1.056, 1.48072, -0.0145348, -0.0571341, 9.7723, 
1.088, 1.4978, 0.0401868, -0.0260852, 9.81234, 
1.12, 1.48936, -0.0656976, -0.0562838, 9.8302, 
