time, x, y, heading
0.032, -1.21648e-11, 0, 
0.064, 0.00216486, 2.69295e-14, 
0.096, 0.00429242, -5.42503e-06, 
0.128, 0.00674298, -1.82685e-05, 
0.16, 0.0092295, -3.10927e-05, 
0.192, 0.0117199, -4.38507e-05, 
0.224, 0.0141702, -5.65772e-05, 
0.256, 0.0165962, -6.89738e-05, 
0.288, 0.019039, -8.09074e-05, 
0.32, 0.0214672, -9.23651e-05, 
0.352, 0.0238673, -0.00010322, 
0.384, 0.0262905, -0.000114032, 
0.416, 0.0286988, -0.000124274, 
0.448, 0.0311511, -0.000130448, 
0.48, 0.0335809, -0.000132096, 
0.512, 0.0356399, -0.000130147, 
0.544, 0.0380469, -0.000130078, 
0.576, 0.0400832, -0.000126562, 
0.608, 0.0424872, -0.000124425, 
0.64, 0.0445475, -0.000118838, 
0.672, 0.0469666, -0.000114507, 
0.704, 0.0490605, -0.000106927, 
0.736, 0.0514851, -9.99209e-05, 
0.768, 0.0535421, -9.03113e-05, 
0.8, 0.055606, -8.23121e-05, 
0.832, 0.0580484, -7.47498e-05, 
0.864, 0.0600915, -6.5033e-05, 
0.896, 0.0625426, -5.5135e-05, 
0.928, 0.0645755, -4.39756e-05, 
0.96, 0.0669859, -3.27138e-05, 
0.992, 0.0690264, -1.93852e-05, 
1.024, 0.0714172, -5.75284e-06, 
1.056, 0.0734249, 1.19328e-05, 
1.088, 0.0754424, 2.76528e-05, 
1.12, 0.0774516, 4.42662e-05, 
1.152, 0.0794875, 6.20835e-05, 
1.184, 0.0815394, 7.95937e-05, 
1.216, 0.0836023, 9.76873e-05, 
1.248, 0.0856723, 0.000115796, 
1.28, 0.0877353, 0.00013375, 
1.312, 0.0901218, 0.000154473, 
1.344, 0.0921615, 0.00017705, 
1.376, 0.0942023, 0.000199753, 
1.408, 0.0962721, 0.000222255, 
1.44, 0.0982732, 0.000243981, 
1.472, 0.100727, 0.00027029, 
1.504, 0.102771, 0.000297985, 
1.536, 0.104775, 0.000325044, 
1.568, 0.106804, 0.000352305, 
1.6, 0.108837, 0.000379104, 
1.632, 0.110844, 0.000405311, 
1.664, 0.11331, 0.000436322, 
1.696, 0.115344, 0.000467882, 
1.728, 0.117352, 0.000499012, 
1.76, 0.119404, 0.000530342, 
1.792, 0.121441, 0.000561031, 
1.824, 0.123928, 0.000598027, 
1.856, 0.126226, 0.000638054, 
1.888, 0.128477, 0.000676773, 
1.92, 0.130735, 0.000715398, 
1.952, 0.132985, 0.000753243, 
1.984, 0.135677, 0.000797565, 
2.016, 0.137971, 0.000841793, 
2.048, 0.14024, 0.000884845, 
2.08, 0.141986, 0.000917872, 
2.112, 0.144149, 0.000953764, 
2.144, 0.146286, 0.000990152, 
2.176, 0.14848, 0.00102876, 
2.208, 0.15066, 0.00106816, 
2.24, 0.152797, 0.00110781, 
2.272, 0.15495, 0.00114909, 
2.304, 0.157124, 0.00119191, 
2.336, 0.159271, 0.0012349, 
2.368, 0.161407, 0.00127847, 
2.4, 0.163571, 0.00132373, 
2.432, 0.165701, 0.00136894, 
2.464, 0.167815, 0.0014146, 
2.496, 0.169924, 0.00146109, 
2.528, 0.172028, 0.00150858, 
2.56, 0.174157, 0.0015578, 
2.592, 0.176326, 0.00160861, 
2.624, 0.178418, 0.00165865, 
2.656, 0.180518, 0.00170984, 
2.688, 0.182613, 0.00176165, 
2.72, 0.184734, 0.00181495, 
2.752, 0.186838, 0.00186868, 
2.784, 0.18894, 0.00192337, 
2.816, 0.191014, 0.00197799, 
2.848, 0.19312, 0.00203443, 
2.88, 0.195257, 0.00209246, 
2.912, 0.197604, 0.00215707, 
2.944, 0.199959, 0.00221821, 
2.976, 0.202255, 0.00227435, 
3.008, 0.204567, 0.00232785, 
3.04, 0.206889, 0.00237831, 
3.072, 0.209215, 0.00242544, 
3.104, 0.211526, 0.00246882, 
3.136, 0.213744, 0.00250753, 
3.168, 0.216022, 0.00254395, 
3.2, 0.218276, 0.00257911, 
3.232, 0.220545, 0.00261396, 
3.264, 0.222822, 0.00264819, 
3.296, 0.225122, 0.00268244, 
3.328, 0.22736, 0.00271467, 
3.36, 0.229581, 0.00274586, 
3.392, 0.231822, 0.00277677, 
3.424, 0.234083, 0.00280703, 
3.456, 0.236307, 0.00283578, 
3.488, 0.238539, 0.00286083, 
3.52, 0.240822, 0.00288268, 
3.552, 0.243025, 0.00289953, 
3.584, 0.245237, 0.00291281, 
3.616, 0.247444, 0.00292233, 
3.648, 0.249641, 0.00292794, 
3.68, 0.251825, 0.00292942, 
3.712, 0.254006, 0.00292673, 
3.744, 0.256192, 0.00292002, 
3.776, 0.258356, 0.00290952, 
3.808, 0.260564, 0.00289486, 
3.84, 0.26273, 0.00287648, 
3.872, 0.264893, 0.00285402, 
3.904, 0.267031, 0.00282776, 
3.936, 0.269164, 0.00279762, 
3.968, 0.27132, 0.0027633, 
4, 0.273458, 0.00272554, 
4.032, 0.275572, 0.00268437, 
4.064, 0.277722, 0.00263849, 
4.096, 0.279863, 0.00258883, 
4.128, 0.281956, 0.00253677, 
4.16, 0.284048, 0.00248112, 
4.192, 0.2862, 0.00241999, 
4.224, 0.288323, 0.00235569, 
4.256, 0.29042, 0.00228859, 
4.288, 0.292632, 0.00221384, 
4.32, 0.29481, 0.00214145, 
4.352, 0.297012, 0.00206999, 
4.384, 0.299226, 0.00199998, 
4.416, 0.301447, 0.00193137, 
4.448, 0.303652, 0.00186436, 
4.48, 0.305834, 0.00179575, 
4.512, 0.307988, 0.00172559, 
4.544, 0.310171, 0.00165248, 
4.576, 0.312355, 0.00157733, 
4.608, 0.314542, 0.00150003, 
4.64, 0.316705, 0.00142104, 
4.672, 0.318857, 0.00134043, 
4.704, 0.320975, 0.00125946, 
