time, x, y, heading,
0.032, -6.22926e-06, -5.62442e-05, 0.00154038, 
0.064, 3.32802e-05, -9.3789e-05, -0.0544905, 
0.096, 0.000143519, -2.10505e-05, -0.177765, 
0.128, 0.000319911, 6.9061e-05, -0.218275, 
0.16, 0.000458858, 0.000178154, -0.236049, 
0.192, 0.000655561, 0.000366618, -0.2042, 
0.224, 0.000911121, 0.000560086, -0.211919, 
0.256, 0.00117069, 0.0008099, -0.182523, 
0.288, 0.00138087, 0.000959227, -0.198413, 
0.32, 0.00152742, 0.00109855, -0.265035, 
0.352, 0.00170136, 0.00124623, -0.304427, 
0.384, 0.00191868, 0.00144885, -0.357475, 
0.416, 0.00210324, 0.0015726, -0.329456, 
0.448, 0.00229146, 0.00171542, -0.339776, 
0.48, 0.00248226, 0.00184654, -0.290125, 
0.512, 0.00264991, 0.00193442, -0.289397, 
0.544, 0.00280597, 0.00187021, -0.29449, 
0.576, 0.00295332, 0.00184568, -0.255919, 
0.608, 0.00312497, 0.00179858, -0.149274, 
0.64, 0.00333653, 0.00170853, -0.132316, 
0.672, 0.00360903, 0.00162329, -0.0789059, 
0.704, 0.00392907, 0.00159598, -0.0342041, 
0.736, 0.00415386, 0.00156543, -0.071606, 
0.768, 0.00432532, 0.00152885, 0.0103632, 
0.8, 0.00460194, 0.00146375, 0.0379355, 
0.832, 0.0047623, 0.00148988, 0.0968587, 
0.864, 0.00493196, 0.00152838, 0.195392, 
0.896, 0.00512125, 0.00152377, 0.202875, 
0.928, 0.00529097, 0.00148188, 0.144649, 
0.96, 0.00545347, 0.00142192, 0.272153, 
0.992, 0.00560999, 0.00135399, 0.290996, 
1.024, 0.00566718, 0.00138101, 0.294568, 
1.056, 0.00573264, 0.00135249, 0.340265, 
1.088, 0.00584703, 0.001282, 0.332902, 
1.12, 0.00591982, 0.00117932, 0.363224, 
1.152, 0.00600115, 0.00106962, 0.382129, 
1.184, 0.00604879, 0.000978837, 0.489398, 
1.216, 0.00603343, 0.00090315, 0.517663, 
1.248, 0.00595896, 0.00084436, 0.526774, 
1.28, 0.0059448, 0.000721771, 0.624248, 
1.312, 0.00597919, 0.000561261, 0.674533, 
1.344, 0.00605495, 0.00034889, 0.654129, 
1.376, 0.00614728, 0.000117572, 0.687666, 
1.408, 0.006243, -0.000118659, 0.71905, 
1.44, 0.00634848, -0.000354453, 0.723165, 
1.472, 0.00643978, -0.000575742, 0.793142, 
