time, x, y, heading,
0.032, -1.21648e-11, 0, 8.46215e-12, 
0.064, 0.00153979, 1.30299e-14, -0.00108062, 
0.096, 0.00305765, -1.64023e-06, -0.00226012, 
0.128, 0.00455335, -5.02069e-06, -0.00289144, 
0.16, 0.00606135, -9.38102e-06, -0.00340871, 
0.192, 0.00762609, -1.47148e-05, -0.00338906, 
0.224, 0.00917885, -1.99772e-05, -0.00316121, 
0.256, 0.010736, -2.48998e-05, -0.00250944, 
0.288, 0.0123272, -2.88928e-05, -0.00208278, 
0.32, 0.0138717, -3.21096e-05, -0.00171451, 
0.352, 0.0153849, -3.4704e-05, -0.00132296, 
0.384, 0.0168945, -3.67011e-05, -0.00141838, 
0.416, 0.0184286, -3.88772e-05, -0.00100537, 
0.448, 0.0199157, -4.03722e-05, -0.0014821, 
0.48, 0.0214836, -4.26959e-05, -0.00135596, 
0.512, 0.0230147, -4.47721e-05, -0.00125, 
0.544, 0.0245833, -4.67328e-05, -0.000927516, 
0.576, 0.0261509, -4.81868e-05, -0.000732485, 
0.608, 0.0278567, -4.94363e-05, 0.00107839, 
0.64, 0.0295401, -4.7621e-05, 0.00151474, 
0.672, 0.0312233, -4.50713e-05, 0.00225098, 
0.704, 0.0328891, -4.13217e-05, 0.00300601, 
0.736, 0.0345775, -3.62464e-05, 0.00389023, 
0.768, 0.0362595, -2.97027e-05, 0.00448548, 
0.8, 0.0379492, -2.21237e-05, 0.004996, 
0.832, 0.0396378, -1.36873e-05, 0.00531724, 
0.864, 0.0413219, -4.73243e-06, 0.00579328, 
0.896, 0.0429931, 4.94918e-06, 0.0061163, 
0.928, 0.0445925, 1.47319e-05, 0.00648094, 
0.96, 0.0462489, 2.54669e-05, 0.00721762, 
0.992, 0.047897, 3.73628e-05, 0.00733597, 
1.024, 0.0495413, 4.94252e-05, 0.00835196, 
1.056, 0.0511419, 6.2794e-05, 0.0085197, 
1.088, 0.0527759, 7.67154e-05, 0.00920691, 
1.12, 0.0544026, 9.16925e-05, 0.00975447, 
1.152, 0.0560292, 0.00010756, 0.0100146, 
1.184, 0.0576753, 0.000124046, 0.0110477, 
1.216, 0.0593502, 0.00014255, 0.0116474, 
1.248, 0.0609785, 0.000161516, 0.0122976, 
1.28, 0.0626457, 0.00018202, 0.0129643, 
1.312, 0.0642875, 0.000203306, 0.0135293, 
1.344, 0.0659629, 0.000225974, 0.0142813, 
1.376, 0.0676064, 0.000249448, 0.014382, 
1.408, 0.0692416, 0.000272966, 0.0150281, 
1.44, 0.0708693, 0.000297429, 0.0153503, 
1.472, 0.0724389, 0.000321525, 0.0158682, 
1.504, 0.0740974, 0.000347845, 0.0165441, 
1.536, 0.0757204, 0.000374698, 0.0172638, 
1.568, 0.0773347, 0.00040257, 0.0178626, 
1.6, 0.0789522, 0.000431466, 0.0184823, 
1.632, 0.0805295, 0.000460621, 0.0186785, 
1.664, 0.0821441, 0.000490784, 0.0197396, 
1.696, 0.0837515, 0.000522516, 0.0205135, 
1.728, 0.0853466, 0.000555242, 0.021044, 
1.76, 0.0869793, 0.000589606, 0.0217797, 
