time, x, y, heading, vel_x, vel_y, vel_heading,
0.008, -1.99204e-09, -1.53147e-07, 0.00014498, 0, 0, 0, 
0.016, -1.98488e-09, 4.81393e-09, 0.000110752, 8.95544e-10, 1.97451e-05, -0.00427855, 
0.024, -1.65799e-09, -1.05059e-08, 8.67971e-05, 4.08613e-08, -1.91498e-06, -0.00299432, 
0.032, -1.35727e-09, -2.04038e-08, 6.85945e-05, 3.75893e-08, -1.23724e-06, -0.00227532, 
0.04, 0.000417197, -2.80788e-08, -0.000544085, 0.0521497, -9.59373e-07, -0.0765849, 
0.048, 0.000923515, -4.63436e-05, -0.000851861, 0.0632897, -0.00578945, -0.0384721, 
0.056, 0.00146451, -0.000112154, -0.00118533, 0.0676241, -0.00822626, -0.0416839, 
0.064, 0.00200582, -0.000178859, -0.00156766, 0.0676647, -0.0083382, -0.0477906, 
0.072, 0.00253792, -0.00024733, -0.00203407, 0.0665122, -0.0085588, -0.0583012, 
0.08, 0.00306998, -0.000310484, -0.00254277, 0.0665073, -0.00789433, -0.0635878, 
0.088, 0.00360201, -0.000368405, -0.00307136, 0.0665037, -0.00724008, -0.0660744, 
0.096, 0.00413401, -0.000421499, -0.00360941, 0.0665001, -0.00663671, -0.0672558, 
0.104, 0.00474645, -0.000424037, -0.003601, 0.0765548, -0.000317336, 0.00105102, 
0.112, 0.00535913, -0.000426332, -0.00358621, 0.0765847, -0.000286813, 0.00184911, 
0.12, 0.00597183, -0.000428578, -0.00357009, 0.0765885, -0.000280776, 0.00201497, 
0.128, 0.00658455, -0.0004308, -0.00355432, 0.0765888, -0.000277745, 0.00197165, 
0.136, 0.0072062, -0.000433036, -0.00354722, 0.077707, -0.000279531, 0.000887061, 
0.144, 0.00782788, -0.000435263, -0.0035403, 0.0777093, -0.00027829, 0.000865404, 
0.152, 0.00844955, -0.00043748, -0.00353371, 0.0777088, -0.000277221, 0.000823521, 
0.16, 0.00907121, -0.000439691, -0.00352741, 0.077708, -0.000276277, 0.000787856, 
0.168, 0.00969385, -0.000441898, -0.00353779, 0.0778296, -0.000275872, -0.00129741, 
0.176, 0.0103165, -0.00044411, -0.00354853, 0.0778293, -0.000276507, -0.00134275, 
0.184, 0.0109391, -0.000446327, -0.00355952, 0.0778288, -0.000277202, -0.00137458, 
0.192, 0.0115617, -0.000448551, -0.00357071, 0.0778284, -0.000277944, -0.00139865, 
0.2, 0.0121744, -0.000450745, -0.00355793, 0.0765784, -0.000274262, 0.00159756, 
0.208, 0.012787, -0.000452929, -0.00354492, 0.0765741, -0.000273014, 0.00162614, 
0.216, 0.0133995, -0.000455103, -0.00353172, 0.0765732, -0.000271804, 0.0016503, 
0.224, 0.0140121, -0.000457268, -0.00351836, 0.0765728, -0.000270621, 0.00166972, 
0.232, 0.0146186, -0.000461102, -0.00348062, 0.075814, -0.000479135, 0.00471784, 
0.24, 0.0152251, -0.000465523, -0.00344158, 0.0758106, -0.000552728, 0.0048802, 
0.248, 0.0158316, -0.000470382, -0.00340159, 0.0758101, -0.000607394, 0.00499861, 
0.256, 0.0164381, -0.000475588, -0.00336085, 0.0758099, -0.000650738, 0.0050928, 
0.264, 0.0170488, -0.00047951, -0.00333141, 0.0763376, -0.000490161, 0.00367945, 
0.272, 0.0176595, -0.000483621, -0.00330159, 0.07634, -0.00051394, 0.00372812, 
0.28, 0.0182702, -0.000487911, -0.00327138, 0.0763404, -0.000536262, 0.0037764, 
0.288, 0.018881, -0.000492338, -0.00324085, 0.0763406, -0.000553386, 0.00381523, 
0.296, 0.019488, -0.000497653, -0.00320408, 0.075884, -0.00066437, 0.0045971, 
